copyright_request,5,2778,"/copy,series_request"
flat_chest,0,2777,"titty_buds,flat_chested,flatchest,tsurupeta,pettanko"
shorts,0,2763,short_pants
sweat,0,2763,sweating
hair_between_eyes,0,2744,bangs_between_eyes
aqua_eyes,0,2726,"cyan_eyes,teal_eyes,turquoise_eyes"
zettai_ryouiki,0,2708,"absolute_territory,zettai_ryouki,/zr"
thighs,0,2705,thigh
lowres,5,2683,
day,0,2675,
character_name,0,2652,
choker,0,2644,
pink_eyes,0,2643,
covered_nipples,0,2610,"erect_nipples_under_clothes,covered_erect_nipples,erect_nipples,erect_nipple,perky_nipples,erect_nipplees,errect_nipples"
armpits,0,2597,"showing_armpits,armpit"
translation_request,5,2593,"translation_requested,translate_request,/tr,translationrequest"
huge_breasts,0,2558,"huge_breast,/hb,huge_boobs,huge_tits"
belt,0,2525,belts
socks,0,2509,"naked_socks,leghighs,sock"
cloud,0,2501,clouds
bra,0,2484,
fingerless_gloves,0,2483,fingerless_glove
hairclip,0,2476,"barrette,hair_clips,hair_clip,hairclips"
official_art,5,2476,
puffy_sleeves,0,2475,"/psleeves,puffy_shoulders"
water,0,2459,
censored,0,2416,"censoring,censor"
feet,0,2374,foot
hair_flower,0,2341,"flower_hair_ornament,/hflower,hair_flowers,flower_in_hair,hairflower"
tongue,0,2323,tongues
spread_legs,0,2309,"spread_leg,open_legs,legs_spread"
lips,0,2288,
parted_lips,0,2267,
white_gloves,0,2245,white_glove
legs,0,2236,leg
horns,0,2218,
kimono,0,2213,
star,0,2208,
from_behind,0,2201,"back_view,from_back,back_turned,viewed_from_behind"
twin_braids,0,2096,"double_braid,twin_braid,twinbraid,twinbraids"
aqua_hair,0,2084,"cyan_hair,teal_hair,turquoise_hair"
miniskirt,0,2072,"short_skirt,mini_skirt"
bunny_ears,0,2072,
on_back,0,2061,"lying_on_back,supine"
scarf,0,2056,muffler
side_ponytail,0,2051,"side_tail,sidetail"
sleeveless,0,2006,no_sleeves
chibi,0,2004,super_deformed
:o,0,1971,:0
wide_sleeves,0,1952,/wsleeves
multicolored_hair,0,1943,"three-tone_hair,multicolor_hair"
cape,0,1921,
sidelocks,0,1918,"payot,forelocks"
shiny,0,1907,
open_shirt,0,1892,"open_blouse,/os,shirt_open,openshirt"
necklace,0,1889,
artist_name,0,1873,
pantyshot,0,1873,"panty_flash,panty_shot,panchira"
no_bra,0,1856,
closed_mouth,0,1844,
black_eyes,0,1841,dark_eyes
high_heels,0,1786,"highheels,heels"
no_panties,0,1775,nopan
one-piece_swimsuit,0,1760,"one_piece_swimsuit,one-piece"
bag,0,1759,bags
